Month		Payment		Total unpaid		

1		108.33		5654.17
2		111.60		5542.56
3		111.05		5431.52
4		110.49		5321.03
5		109.94		5211.09
6		109.39		5101.70
7		108.84		4992.86
8		108.30		4884.56
9		107.76		4776.80
10		107.22		4669.59
11		106.68		4562.90
12		106.15		4456.76
13		105.62		4351.14
14		105.09		4246.05
15		104.56		4141.49
16		104.04		4037.45
17		103.52		3933.93
18		103.00		3830.92
19		102.49		3728.43
20		101.98		3626.46
21		101.47		3524.99
22		100.96		3424.03
23		100.45		3323.58
24		99.95		3223.63
25		99.45		3124.18
26		98.95		3025.22
27		98.46		2926.76
28		97.97		2828.80
29		97.48		2731.32
30		96.99		2634.33
31		96.50		2537.83
32		96.02		2441.80
33		95.54		2346.26
34		95.06		2251.20
35		94.59		2156.61
36		94.12		2062.49
37		93.65		1968.84
38		93.18		1875.67
39		92.71		1782.96
40		92.25		1690.71
41		91.79		1598.92
42		91.33		1507.59
43		90.87		1416.72
44		90.42		1326.30
45		89.96		1236.34
46		89.52		1146.82
47		89.07		1057.76
48		88.62		969.13
49		88.18		880.96
50		87.74		793.22
51		87.30		705.92
52		86.86		619.06
53		86.43		532.63
54		86.00		446.63
55		85.57		361.06
56		85.14		275.93
57		84.71		191.21
58		84.29		106.92
59		83.87		23.05
60		23.05		0.00
