Month		Payment		Total unpaid		

1		96.66		5703.18
2		193.33		5606.51
3		289.99		5509.85
4		386.66		5413.18
5		483.32		5316.52
6		579.98		5219.86
7		676.65		5123.19
8		773.31		5026.53
9		869.98		4929.86
10		966.64		4833.20
11		1063.30		4736.54
12		1159.97		4639.87
13		1256.63		4543.21
14		1353.30		4446.54
15		1449.96		4349.88
16		1546.62		4253.22
17		1643.29		4156.55
18		1739.95		4059.89
19		1836.62		3963.22
20		1933.28		3866.56
21		2029.94		3769.90
22		2126.61		3673.23
23		2223.27		3576.57
24		2319.94		3479.90
25		2416.60		3383.24
26		2513.26		3286.58
27		2609.93		3189.91
28		2706.59		3093.25
29		2803.26		2996.58
30		2899.92		2899.92
31		2996.58		2803.26
32		3093.25		2706.59
33		3189.91		2609.93
34		3286.58		2513.26
35		3383.24		2416.60
36		3479.90		2319.94
37		3576.57		2223.27
38		3673.23		2126.61
39		3769.90		2029.94
40		3866.56		1933.28
41		3963.22		1836.62
42		4059.89		1739.95
43		4156.55		1643.29
44		4253.22		1546.62
45		4349.88		1449.96
46		4446.54		1353.30
47		4543.21		1256.63
48		4639.87		1159.97
49		4736.54		1063.30
50		4833.20		966.64
51		4929.86		869.98
52		5026.53		773.31
53		5123.19		676.65
54		5219.86		579.98
55		5316.52		483.32
56		5413.18		386.66
57		5509.85		289.99
58		5606.51		193.33
59		5703.18		96.66
60		5799.84		0.00
